"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Aug 15 23:21:46 BDT 2022","Mon Aug 15 23:21:48 BDT 2022","1690","","Verify Search Station/Train Feature","","Verify Search Station/Train Feature","TC _012: Verify user can't found any station list after searching by invalid Station name","TC _012: Verify user can't found any station list after searching by invalid Station name",""
"passed","Mon Aug 15 23:22:33 BDT 2022","Mon Aug 15 23:22:47 BDT 2022","14062","","Verify Train Ticket Price Feature","","Verify Train Ticket Price Feature","TC _021: Verify user can view Eastern Region train ticket price","TC _021: Verify user can view Eastern Region train ticket price",""
"passed","Mon Aug 15 23:21:53 BDT 2022","Mon Aug 15 23:21:55 BDT 2022","1695","","Verify Search Station/Train Feature","","Verify Search Station/Train Feature","TC _015: Verify user can't found any train list after searching by invalid train name","TC _015: Verify user can't found any train list after searching by invalid train name",""
"passed","Mon Aug 15 23:22:25 BDT 2022","Mon Aug 15 23:22:28 BDT 2022","2638","","Verify Train Timeline Feature","","Verify Train Timeline Feature","TC _020: Verify User can view train ticket price details information","TC _020: Verify User can view train ticket price details information",""
"passed","Mon Aug 15 23:23:45 BDT 2022","Mon Aug 15 23:23:47 BDT 2022","1979","","Verify Mobile Ticket Feature","","Verify Mobile Ticket Feature","TC _027: Verify user can buy a train ticket using SMS system","TC _027: Verify user can buy a train ticket using SMS system",""
"passed","Mon Aug 15 23:21:02 BDT 2022","Mon Aug 15 23:21:03 BDT 2022","892","","Verify Landing Screen","","Verify Landing Screen","TC _003: Verify user can skip landing pages by pressing on Skip button","TC _003: Verify user can skip landing pages by pressing on Skip button",""
"passed","Mon Aug 15 23:23:42 BDT 2022","Mon Aug 15 23:23:45 BDT 2022","2147","","Verify Mobile Ticket Feature","","Verify Mobile Ticket Feature","TC _026: Verify user can cancel buy a train ticket using SMS system","TC _026: Verify user can cancel buy a train ticket using SMS system",""
"passed","Mon Aug 15 23:20:57 BDT 2022","Mon Aug 15 23:21:01 BDT 2022","3119","","Verify Landing Screen","","Verify Landing Screen","TC _001: Verify User can view landing pages for first time usage","TC _001: Verify User can view landing pages for first time usage",""
"passed","Mon Aug 15 23:22:24 BDT 2022","Mon Aug 15 23:22:25 BDT 2022","838","","Verify Train Timeline Feature","","Verify Train Timeline Feature","TC _019: Verify User can view train stopage station name","TC _019: Verify User can view train stopage station name",""
"passed","Mon Aug 15 23:23:04 BDT 2022","Mon Aug 15 23:23:11 BDT 2022","6332","","Verify Train Tracking Feature","","Verify Train Tracking Feature","TC _023: Verify user can view train tracking information","TC _023: Verify user can view train tracking information",""
"passed","Mon Aug 15 23:21:35 BDT 2022","Mon Aug 15 23:21:36 BDT 2022","936","","Verify Home Screen","","Verify Home Screen","TC _010: Verify user can re-sync the train information","TC _010: Verify user can re-sync the train information",""
"passed","Mon Aug 15 23:21:29 BDT 2022","Mon Aug 15 23:21:34 BDT 2022","4491","","Verify Home Screen","","Verify Home Screen","TC _007: Verify User can Skip Registration to the application","TC _007: Verify User can Skip Registration to the application",""
"passed","Mon Aug 15 23:23:52 BDT 2022","Mon Aug 15 23:23:59 BDT 2022","6890","","Verify Subscribe Feature","","Verify Subscribe Feature","TC _028: Verify empty fields validation message is showing while Subscribe to the application","TC _028: Verify empty fields validation message is showing while Subscribe to the application",""
"passed","Mon Aug 15 23:23:36 BDT 2022","Mon Aug 15 23:23:42 BDT 2022","6335","","Verify Mobile Ticket Feature","","Verify Mobile Ticket Feature","TC _025: Verify user can view the SMS rules to buy ticket using sms","TC _025: Verify user can view the SMS rules to buy ticket using sms",""
"passed","Mon Aug 15 23:21:12 BDT 2022","Mon Aug 15 23:21:24 BDT 2022","11703","","Verify Account/Account Information","","Verify Account/Account Information","TC _005: Verify user will be Register to the application using valid information","TC _005: Verify user will be Register to the application using valid information",""
"passed","Mon Aug 15 23:23:11 BDT 2022","Mon Aug 15 23:23:30 BDT 2022","19320","","Verify Train Tracking Feature","","Verify Train Tracking Feature","TC _024: Verify user can get train tracking information by searching train by start and stop station name","TC _024: Verify user can get train tracking information by searching train by start and stop station name",""
"passed","Mon Aug 15 23:21:41 BDT 2022","Mon Aug 15 23:21:46 BDT 2022","5463","","Verify Search Station/Train Feature","","Verify Search Station/Train Feature","TC _011: Verify user can view ""আক্কেলপুর স্টেশন"" in first position when search entry is empty","TC _011: Verify user can view ""আক্কেলপুর স্টেশন"" in first position when search entry is empty",""
"passed","Mon Aug 15 23:22:47 BDT 2022","Mon Aug 15 23:22:58 BDT 2022","11102","","Verify Train Ticket Price Feature","","Verify Train Ticket Price Feature","TC _022: Verify user can view Western Region train ticket price","TC _022: Verify user can view Western Region train ticket price",""
"passed","Mon Aug 15 23:21:01 BDT 2022","Mon Aug 15 23:21:02 BDT 2022","1195","","Verify Landing Screen","","Verify Landing Screen","TC _002: Verify user can go to next landing pages by pressing on Next button","TC _002: Verify user can go to next landing pages by pressing on Next button",""
"passed","Mon Aug 15 23:22:23 BDT 2022","Mon Aug 15 23:22:24 BDT 2022","1003","","Verify Train Timeline Feature","","Verify Train Timeline Feature","TC _018: Verify User can view train details information when search train by start and stop station name","TC _018: Verify User can view train details information when search train by start and stop station name",""
"passed","Mon Aug 15 23:21:55 BDT 2022","Mon Aug 15 23:21:57 BDT 2022","2691","","Verify Search Station/Train Feature","","Verify Search Station/Train Feature","TC _016: Verify user can search train by valid train name","TC _016: Verify user can search train by valid train name",""
"passed","Mon Aug 15 23:21:34 BDT 2022","Mon Aug 15 23:21:35 BDT 2022","578","","Verify Home Screen","","Verify Home Screen","TC _009: Verify Nine Box Options are showing and clickable","TC _009: Verify Nine Box Options are showing and clickable",""
"passed","Mon Aug 15 23:21:08 BDT 2022","Mon Aug 15 23:21:12 BDT 2022","4288","","Verify Account/Account Information","","Verify Account/Account Information","TC _004: Verify user will not Register to the application using empty input","TC _004: Verify user will not Register to the application using empty input",""
"passed","Mon Aug 15 23:21:48 BDT 2022","Mon Aug 15 23:21:50 BDT 2022","2255","","Verify Search Station/Train Feature","","Verify Search Station/Train Feature","TC _013: Verify user can search train by valid Station name","TC _013: Verify user can search train by valid Station name",""
"passed","Mon Aug 15 23:21:34 BDT 2022","Mon Aug 15 23:21:34 BDT 2022","122","","Verify Home Screen","","Verify Home Screen","TC _008: Verify user can view the App Name and Drawer icon in the top left corner","TC _008: Verify user can view the App Name and Drawer icon in the top left corner",""
"passed","Mon Aug 15 23:21:50 BDT 2022","Mon Aug 15 23:21:53 BDT 2022","2397","","Verify Search Station/Train Feature","","Verify Search Station/Train Feature","TC _014: Verify user can view ""অগ্নিবীনা এক্সপ্রেস"" in first position when search entry is empty","TC _014: Verify user can view ""অগ্নিবীনা এক্সপ্রেস"" in first position when search entry is empty",""
